repo,commitYear,commitMonth,commitDay,commitDOY,commitWOY
abu,2011,03,03,062,09
abu,2011,03,02,061,09
abu,2010,11,01,305,44
abu,2010,10,28,301,43
abu,2010,10,27,300,43
abu,2010,10,26,299,43
abu,2010,10,24,297,42
abu,2010,10,23,296,42
abu,2010,10,19,292,42
abu,2010,10,18,291,42
abu,2010,10,15,288,41
abu,2010,10,14,287,41
abu,2010,10,13,286,41
abu,2010,10,12,285,41
abu,2010,10,10,283,40
abu,2010,10,08,281,40
abu,2010,10,07,280,40
abu,2010,10,05,278,40
abu,2010,10,04,277,40
abu,2010,10,03,276,39
abu,2010,09,29,272,39
abu,2010,09,28,271,39
abu,2010,09,27,270,39
abu,2010,09,26,269,38
abu,2010,09,25,268,38
algosbook,2012,01,08,008,01
algosbook,2011,12,14,348,50
anamika,2013,04,27,117,16
bart,2013,02,22,053,07
bart,2012,06,25,177,26
bart,2012,06,24,176,25
bart,2011,03,03,062,09
bart,2011,02,23,054,08
bcb11,2012,02,16,047,07
bcb11,2012,02,11,042,06
bcb11,2012,02,10,041,06
bcb11,2012,02,09,040,06
bcb11,2012,02,08,039,06
bcb11,2012,02,07,038,06
betterscript,2013,03,15,074,10
betterscript,2013,03,13,072,10
betterscript,2013,02,12,043,06
betterscript,2013,02,11,042,06
betterscript,2012,10,30,304,44
betterscript,2012,10,15,289,42
betterscript,2012,10,14,288,41
betterscript,2012,10,13,287,41
cuke4jas,2011,03,12,071,10
cuke4jas,2011,02,17,048,07
cuke4jas,2011,02,16,047,07
cuke4jas,2011,02,14,045,07
cuke4jas,2011,02,13,044,06
cuke4jas,2011,02,01,032,05
cuke4jas,2011,01,28,028,04
cuke4jas,2011,01,26,026,04
fluent-old,2011,03,03,062,09
fluent-old,2011,01,23,023,03
fluent-old,2011,01,22,022,03
fluent-old,2011,01,18,018,03
fluent-old,2011,01,12,012,02
fluent-old,2011,01,04,004,01
fluent-old,2011,01,01,001,00
fluent-old,2010,12,31,365,52
guts,2012,02,22,053,08
guts,2012,02,16,047,07
impress.js,2012,02,16,047,07
jNV,2013,04,20,110,15
jNV,2013,04,19,109,15
jNV,2013,04,18,108,15
jNV,2013,04,17,107,15
jNV,2013,04,16,106,15
jNV,2013,04,11,101,14
jNV,2013,04,10,100,14
jNV,2013,04,09,099,14
jNV,2013,04,08,098,14
jNV,2013,04,04,094,13
jNV,2013,04,03,093,13
jNV,2013,04,02,092,13
lispdown,2011,11,27,331,47
ometa-js,2013,04,08,098,14
ometa-js,2013,04,07,097,13
ometa-js,2013,03,13,072,10
ometa-js,2013,02,22,053,07
ometa-js,2013,02,21,052,07
plnext,2013,03,05,064,09
plnext,2013,03,04,063,09
plnext,2013,03,03,062,08
plnext,2013,03,02,061,08
plnext,2013,03,01,060,08
plnext,2013,02,27,058,08
plnext,2013,02,26,057,08
plnext,2012,07,24,206,30
plnext,2012,07,23,205,30
plnext,2012,06,27,179,26
plnext,2012,06,26,178,26
plnext,2012,05,31,152,22
plnext,2012,05,18,139,20
plnext,2012,05,16,137,20
plnext,2012,04,25,116,17
read_wiki_cs,2012,07,05,187,27
read_wiki_cs,2012,06,28,180,26
read_wiki_cs,2012,02,06,037,06
read_wiki_cs,2012,01,18,018,03
read_wiki_cs,2012,01,10,010,02
read_wiki_cs,2011,12,12,346,50
read_wiki_cs,2011,12,08,342,49
read_wiki_cs,2011,12,06,340,49
read_wiki_cs,2011,12,04,338,48
send_contact,2012,03,18,078,11
send_contact,2012,03,03,063,09
send_contact,2011,11,27,331,47
send_contact,2011,11,26,330,47
sid,2013,04,06,096,13
sid,2013,02,24,055,07
sid,2013,02,22,053,07
sid,2012,06,24,176,25
sid,2012,02,01,032,05
sid,2011,12,19,353,51
sid,2011,03,04,063,09
sid,2011,03,03,062,09
sid,2011,03,02,061,09
sid,2011,03,01,060,09
sid,2011,02,21,052,08
sid,2011,02,20,051,07
sid,2011,02,19,050,07
teamcontrol,2011,04,22,112,16
teamcontrol,2011,04,21,111,16
